Date,AAPL,MSFT,JPM,JNJ,XOM,AMZN,GOOGL,BRK-B
2019-01-02,37.436920166015625,94.01615142822266,80.47398376464844,103.2816162109375,49.34522247314453,76.95649719238281,52.2705078125,202.8000030517578
2019-01-03,33.707923889160156,90.55747985839844,79.33030700683594,101.64041900634766,48.587589263916016,75.01399993896484,50.82284164428711,191.66000366210938
2019-01-04,35.14690017700195,94.76924133300781,82.2548599243164,103.34626770019531,50.37900924682617,78.76950073242188,53.429725646972656,195.1999969482422
2019-01-07,35.06864929199219,94.89012145996094,82.31205749511719,102.68334197998047,50.64099884033203,81.47550201416016,53.32316970825195,196.91000366210938
2019-01-08,35.7371711730957,95.57810974121094,82.15682220458984,105.06830596923828,51.009185791015625,82.8290023803711,53.79151916503906,196.30999755859375
2019-01-09,36.344058990478516,96.94483947753906,82.0179443359375,104.23560333251953,51.27824020385742,82.97100067138672,53.60715103149414,196.3699951171875
2019-01-10,36.460235595703125,96.3219223022461,82.009765625,104.86620330810547,51.01626968383789,82.81099700927734,53.46738815307617,196.5800018310547
2019-01-11,36.10225296020508,95.57810974121094,81.61768341064453,104.89852142333984,50.7826042175293,82.02799987792969,52.755706787109375,196.2899932861328
2019-01-14,35.55937576293945,94.88081359863281,82.45909881591797,103.71009826660156,50.718868255615234,80.8604965209961,52.11339569091797,195.77999877929688
2019-01-15,36.287174224853516,97.63288879394531,83.0635986328125,104.58323669433594,50.74720001220703,83.72799682617188,53.848018646240234,196.94000244140625
2019-01-16,36.73046875,97.97687530517578,83.73345947265625,103.51605987548828,50.725948333740234,84.18900299072266,53.9966926574707,198.41000366210938
2019-01-17,36.94857406616211,98.66490173339844,84.0765609741211,104.36492919921875,51.072898864746094,84.66100311279297,54.47297668457031,198.77999877929688
2019-01-18,37.1761589050293,100.14319610595703,85.44081115722656,105.6584701538086,51.68185806274414,84.80999755859375,54.87838363647461,204.47999572753906
2019-01-22,36.3416862487793,98.25579833984375,84.09291076660156,104.13050842285156,50.90296936035156,81.6084976196289,53.457481384277344,200.72000122070312
2019-01-23,36.48866653442383,99.21342468261719,83.88052368164062,104.13050842285156,50.4852180480957,82.0009994506836,53.74394226074219,201.14999389648438
2019-01-24,36.19944763183594,98.7392578125,83.92949676513672,102.69949340820312,50.5560188293457,82.74649810791016,53.72361755371094,201.02000427246094
2019-01-25,37.398990631103516,99.64112854003906,84.46048736572266,103.66966247558594,50.7826042175293,83.52850341796875,54.591426849365234,202.75
2019-01-28,37.05287551879883,97.69795227050781,84.86082458496094,104.28411865234375,50.44272232055664,81.89450073242188,53.518436431884766,200.9499969482422
2019-01-29,36.6688346862793,95.70831298828125,85.09771728515625,105.36746215820312,50.633914947509766,79.69400024414062,53.03274917602539,202.0500030517578
2019-01-30,39.174591064453125,98.9066390991211,85.29376983642578,106.42654418945312,51.18620681762695,83.52149963378906,54.41697311401367,205.9600067138672
2019-01-31,39.45669174194336,97.0936508178711,84.55038452148438,107.59071350097656,51.88718795776367,85.9365005493164,55.799713134765625,205.5399932861328
2019-02-01,39.47565460205078,95.55952453613281,84.86082458496094,108.49622344970703,53.756492614746094,81.3115005493164,55.43940734863281,209.19000244140625
2019-02-04,40.59695816040039,98.31158447265625,85.1630630493164,107.42902374267578,52.97761154174805,81.66549682617188,56.56938552856445,208.52000427246094
2019-02-05,41.291542053222656,99.68761444091797,84.78726959228516,107.42902374267578,53.522830963134766,82.94049835205078,57.08728790283203,207.82000732421875
2019-02-06,41.3057861328125,98.58120727539062,84.74642181396484,107.52606964111328,53.289180755615234,82.01300048828125,55.65103530883789,206.00999450683594
2019-02-07,40.523475646972656,97.8746109008789,83.63544464111328,106.75801849365234,52.87848663330078,80.71849822998047,54.809486389160156,201.72999572753906
2019-02-08,40.57107925415039,98.24649047851562,82.80216979980469,107.04096984863281,52.96439743041992,79.41100311279297,54.63454818725586,200.9199981689453
2019-02-11,40.3377685546875,97.85600280761719,82.4100570678711,106.71759033203125,53.05030822753906,79.55000305175781,54.62165832519531,203.0500030517578
2019-02-12,40.68535614013672,99.38081359863281,83.81513214111328,108.46388244628906,53.98101806640625,81.90049743652344,55.88346862792969,206.14999389648438
2019-02-13,40.516334533691406,99.30640411376953,84.21543884277344,108.69830322265625,54.58955001831055,82.0,55.93550491333008,205.8000030517578
2019-02-14,40.663944244384766,99.3901138305664,83.66812133789062,108.58514404296875,54.60386657714844,81.13249969482422,55.96376037597656,202.77999877929688
2019-02-15,40.5734748840332,100.61737823486328,86.22505950927734,110.25867462158203,55.63479995727539,80.39749908447266,55.48945999145508,205.2899932861328
2019-02-19,40.69488525390625,100.57088470458984,85.92277526855469,109.7008285522461,56.007083892822266,81.37899780273438,55.830440521240234,205.69000244140625
2019-02-20,40.9567756652832,100.04798126220703,86.33940887451172,110.23442077636719,56.221858978271484,81.1050033569336,55.537044525146484,206.16000366210938
2019-02-21,40.725830078125,102.15821838378906,86.15969848632812,109.48251342773438,55.71355438232422,80.97200012207031,54.725242614746094,205.3300018310547
2019-02-22,41.180572509765625,103.61478424072266,85.7757339477539,110.43653869628906,56.14311599731445,81.5780029296875,55.33730697631836,201.91000366210938
2019-02-25,41.48055648803711,104.19367980957031,86.6743392944336,110.84344482421875,56.20039749145508,81.6500015258789,55.3754768371582,202.30999755859375
2019-02-26,41.504356384277344,104.91265106201172,86.01264190673828,110.77021026611328,56.3149299621582,81.81999969482422,55.60741424560547,201.89999389648438
2019-02-27,41.63291931152344,104.73528289794922,85.90643310546875,110.5748519897461,56.89484405517578,82.05449676513672,55.65103530883789,202.2899932861328
2019-02-28,41.223426818847656,104.60453033447266,85.25291442871094,111.2015151977539,56.57984161376953,81.99150085449219,55.832420349121094,201.3000030517578
2019-03-01,41.65673065185547,105.0713882446289,85.31009674072266,112.5931396484375,57.27427291870117,83.58650207519531,56.921260833740234,203.1300048828125
2019-03-04,41.866233825683594,104.81929779052734,85.1140365600586,112.69898223876953,57.4962158203125,84.80850219726562,57.16411590576172,201.80999755859375
2019-03-05,41.79006576538086,104.29642486572266,85.0487060546875,112.93500518798828,57.41032791137695,84.62149810791016,57.945682525634766,201.47000122070312
2019-03-06,41.54957580566406,104.34310913085938,84.73008728027344,113.19540405273438,56.7588005065918,83.44750213623047,57.735050201416016,200.6699981689453
2019-03-07,41.06867218017578,103.07325744628906,84.1174087524414,112.50362396240234,57.388832092285156,81.29750061035156,57.0367431640625,199.3000030517578
2019-03-08,41.16628646850586,103.18527221679688,84.15008544921875,112.357177734375,56.565521240234375,81.04000091552734,56.99312973022461,198.6999969482422
2019-03-11,42.59237289428711,105.3515396118164,85.24474334716797,112.76411437988281,57.11677551269531,83.53099822998047,58.444759368896484,202.08999633789062
2019-03-12,43.070919036865234,106.08914184570312,84.99151611328125,113.2686538696289,57.27427291870117,83.65499877929688,59.33634948730469,202.5
2019-03-13,43.261390686035156,106.91082000732422,85.27741241455078,113.4558334350586,57.78257751464844,84.54049682617188,59.42605209350586,204.05999755859375
2019-03-14,43.742313385009766,106.994873046875,86.0534896850586,112.32460021972656,57.58930206298828,84.31099700927734,59.10242462158203,203.3800048828125
2019-03-15,44.311317443847656,108.22737121582031,87.04196166992188,111.98284912109375,57.38166046142578,85.61799621582031,58.991912841796875,204.30999755859375
2019-03-18,44.76366424560547,109.77732849121094,87.5647964477539,111.63285064697266,58.0474967956543,87.10749816894531,58.905174255371094,206.67999267578125
2019-03-19,44.40892028808594,109.85206604003906,87.24617767333984,112.66642761230469,57.89714813232422,88.09249877929688,59.59456253051758,205.14999389648438
2019-03-20,44.796993255615234,109.73065185546875,85.38358306884766,111.73049926757812,58.219295501708984,89.8635025024414,60.782527923583984,203.27000427246094
2019-03-21,46.4468879699707,112.25170135498047,84.03570556640625,112.38973236083984,58.555816650390625,90.96299743652344,61.26325607299805,204.42999267578125
2019-03-22,45.485050201416016,109.29180145263672,81.49512481689453,111.4212875366211,57.6179313659668,88.2385025024414,59.85177993774414,200.5500030517578
2019-03-25,44.93507385253906,109.86141204833984,80.81707763671875,111.1771240234375,57.217018127441406,88.71299743652344,59.342796325683594,199.44000244140625
2019-03-26,44.4708251953125,110.09483337402344,81.62584686279297,112.77222442626953,57.96157455444336,89.18800354003906,58.9691047668457,200.6199951171875
2019-03-27,44.87080764770508,109.03038024902344,81.34806823730469,112.87798309326172,57.5176887512207,88.28500366210938,58.3828010559082,199.2100067138672
2019-03-28,44.930335998535156,109.17977905273438,82.27119445800781,113.0245132446289,57.80406951904297,88.6709976196289,58.09832763671875,200.66000366210938
2019-03-29,45.223148345947266,110.12284088134766,82.69598388671875,113.76506805419922,57.84702682495117,89.0374984741211,58.32730484008789,200.88999938964844
2019-04-01,45.5302734375,111.13123321533203,85.48164367675781,113.10590362548828,58.512847900390625,90.70950317382812,59.42209243774414,205.0
2019-04-02,46.192134857177734,111.28997039794922,85.89012145996094,112.07232666015625,58.262264251708984,90.6989974975586,59.747215270996094,203.8800048828125
2019-04-03,46.5087776184082,112.01827239990234,86.06166076660156,111.63285064697266,57.91862487792969,91.03500366210938,60.008392333984375,203.6699981689453
2019-04-04,46.589725494384766,111.4487075805664,86.89305877685547,110.33074951171875,58.74195098876953,90.94300079345703,60.43659210205078,204.10000610351562
2019-04-05,46.9016227722168,111.94355773925781,86.687255859375,110.82715606689453,59.05695343017578,91.86399841308594,60.04011154174805,205.3300018310547
2019-04-08,47.63966369628906,111.98092651367188,86.96712493896484,110.79459381103516,59.42207717895508,92.49299621582031,59.88300704956055,205.25
2019-04-09,47.49680709838867,111.37400817871094,86.3250732421875,110.33074951171875,58.65602493286133,91.79199981689453,59.605960845947266,204.9199981689453
2019-04-10,47.76346206665039,112.22370910644531,86.7119369506836,110.3388900756836,58.391151428222656,92.36650085449219,59.79230880737305,204.52000427246094
2019-04-11,47.36586380004883,112.35441589355469,87.44457244873047,110.0377426147461,58.67034912109375,92.20349884033203,59.94792938232422,206.6699981689453
2019-04-12,47.34682846069336,112.93330383300781,91.54390716552734,110.66443634033203,57.932945251464844,92.15299987792969,60.599159240722656,210.55999755859375
2019-04-15,47.432533264160156,113.02669525146484,90.49852752685547,111.1038818359375,57.73965072631836,92.24349975585938,60.787479400634766,209.74000549316406
2019-04-16,47.437294006347656,112.76522064208984,91.45337677001953,112.32460021972656,58.13340377807617,93.1520004272461,61.054115295410156,211.8000030517578
2019-04-17,48.36103439331055,113.69894409179688,94.08750915527344,112.7315444946289,58.298072814941406,93.24099731445312,61.46200180053711,210.3699951171875
2019-04-18,48.53483581542969,115.19292449951172,93.39603424072266,111.91769409179688,58.083274841308594,93.08450317382812,61.52791976928711,209.99000549316406
2019-04-22,48.6943473815918,115.55706024169922,93.51129150390625,112.16999053955078,59.35047912597656,94.3655014038086,62.13701629638672,209.49000549316406
2019-04-23,49.39667892456055,117.12570190429688,93.62651824951172,113.85462188720703,59.69411849975586,96.1884994506836,62.97111892700195,211.61000061035156
2019-04-24,49.320499420166016,116.7242202758789,93.47010803222656,113.28490447998047,58.53432083129883,95.0875015258789,62.44874572753906,210.57000732421875
2019-04-25,48.87290573120117,120.58979797363281,93.5195083618164,113.65116882324219,58.86363983154297,95.11250305175781,62.810054779052734,211.9499969482422
2019-04-26,48.63958740234375,121.28076934814453,94.22743225097656,114.2533950805664,57.62510681152344,97.53150177001953,63.30962371826172,214.22000122070312
2019-04-29,48.713401794433594,121.168701171875,95.58564758300781,113.80580139160156,57.2528076171875,96.92150115966797,64.24036407470703,216.5800018310547
2019-04-30,47.775360107421875,121.94371032714844,95.52803802490234,114.91256713867188,57.47473907470703,96.32599639892578,59.42110061645508,216.7100067138672
2019-05-01,50.12044143676758,119.40399169921875,94.79541015625,115.52295684814453,56.32210922241211,95.57599639892578,58.150367736816406,216.7100067138672
2019-05-02,49.794273376464844,117.84467315673828,95.0011978149414,114.9776840209961,55.33412170410156,95.04100036621094,57.8128662109375,215.92999267578125
2019-05-03,50.413299560546875,120.35638427734375,95.58564758300781,115.5718002319336,55.46299362182617,98.12300109863281,58.95473861694336,218.60000610351562
2019-05-06,49.634769439697266,119.65608978271484,94.73779296875,115.63689422607422,55.21957015991211,97.52749633789062,59.14851760864258,213.16000366210938
2019-05-07,48.2967643737793,117.20040130615234,93.19025421142578,113.9115982055664,54.92604064941406,96.05000305175781,58.42493438720703,209.42999267578125
2019-05-08,48.3062744140625,117.19107055664062,92.69635772705078,113.76506805419922,55.011959075927734,95.88849639892578,58.02448654174805,209.2899932861328
2019-05-09,47.78728485107422,117.1817398071289,92.62225341796875,112.9024429321289,54.96183395385742,94.99349975585938,57.885223388671875,208.55999755859375
2019-05-10,47.125247955322266,118.70368194580078,92.61405181884766,113.16285705566406,55.439762115478516,94.4990005493164,57.868865966796875,209.02000427246094
2019-05-13,44.386348724365234,115.17424011230469,90.09515380859375,111.65726470947266,54.824249267578125,91.13400268554688,56.33000946044922,205.00999450683594
2019-05-14,45.089012145996094,116.46276092529297,90.81131744384766,111.34803009033203,54.896644592285156,92.00599670410156,55.74866485595703,203.69000244140625
2019-05-15,45.62913513183594,118.10282135009766,90.46560668945312,111.4212875366211,55.302181243896484,93.55750274658203,58.025482177734375,202.97999572753906
2019-05-16,45.42838668823242,120.83000183105469,91.626220703125,112.47924041748047,55.2949333190918,95.37850189208984,58.7044563293457,204.6300048828125
2019-05-17,45.17026138305664,120.02406311035156,91.18172454833984,112.80477142333984,54.96907043457031,93.44999694824219,57.92536163330078,203.27000427246094
2019-05-20,43.75779724121094,118.29026794433594,91.6591796875,112.65015411376953,54.96183395385742,92.94850158691406,56.72996520996094,202.72999572753906
2019-05-21,44.59666442871094,118.92755126953125,91.97195434570312,112.4059829711914,55.21527862548828,92.8759994506836,57.214664459228516,203.36000061035156
2019-05-22,43.68369674682617,119.64916229248047,91.22288513183594,112.92684936523438,54.71561813354492,92.98400115966797,57.284542083740234,202.60000610351562
